Name,Neighborhood,Units,num,street,Developer,Cost,Square feet,Status,Longitude,Latitude,image,headline,storylink,projectlink,Projectsite,comment
345 Harrison Street,South End,560 ,345,Harrison St.,F8345 Harrison Owner LLC,"$218,000,000","545,000",Board approved,-71.064441,42.345254,http://c.o0bg.com/rf/image_460w/Boston/2011-2020/2013/09/17/BostonGlobe.com/Business/Images/herald-big.jpg,Two apartment buildings with about 600 units and street-level retail at 345 Harrison,http://www.bostonglobe.com/business/2014/04/09/south-end-hostel-sold-developer-for/YUbGR9r2ESw1cUYqYynzWM/story.html,http://www.bostonredevelopmentauthority.org/projects/development-projects/345-harrison-street,,"Two residential buildings with 560 rental units and 30,000 square feet of ground-floor retail"
275 Albany St.,South End,380 ,275,Albany St.,BH Normandy 275 LLC,"$165,000,000","330,000",Under construction,-71.062665,42.343825,http://c.o0bg.com/rf/image_460w/Boston/2011-2020/2012/08/01/BostonGlobe.com/Business/Images/02Normandy1.jpg,"Apartments, hotel proposed for South End",http://www.bostonglobe.com/business/2012/08/01/apartments-hotel-proposed-for-south-end/hUVq7sJDR2iXfENaFRZDzK/story.html,http://www.bostonredevelopmentauthority.org/projects/development-projects/275-albany-street,,Redevelopment of the former Teradyne parking lot into 380 residential units
One Greenway,Chinatown,345 ,0,Kneeland St.,New Boston Development Partners,"$154,000,000","396,750",Under construction,-71.062927,42.351172,,Formal ground-breaking set for One Greenway project,http://www.bostonglobe.com/business/2014/05/06/greenway/IdpYmbIngO9rNnuAv4A43K/story.html,http://www.bostonredevelopmentauthority.org/projects/development-projects/parcel-24,,345-unit mixed-income residential development
80 East Berkeley St.,South End,0 ,80,East Berkeley St.,The Druker Co. Ltd.,"$123,000,000","308,000",Board approved,-71.066574,42.344381,http://c.o0bg.com/rf/image_460w/Boston/2011-2020/2013/08/23/BostonGlobe.com/Business/Images/south_end_rendering.jpg,Developer Ron Druker proposes 11-story South End building,http://www.bostonglobe.com/business/2013/08/22/developer-ron-druker-proposes-story-south-end-building/0TJ1zFnTW3VQuReaQk5GKJ/story.html,http://www.bostonredevelopmentauthority.org/projects/development-projects/80-east-berkeley-street,,11-story office building with ground floor retail and 200 parking spaces
45 Stuart St.,Downtown,404 ,45,Stuart St.,AvalonBay Communities,"$125,000,000","384,000",Under construction,-71.063987,42.351272,,New developer pitches apartments on Stuart St.,http://www.bostonglobe.com/business/2011/08/12/avalon-proceed-with-stuart-street-tower/Urac8BtIuxnoHCTwLJctnJ/story.html,http://www.bostonredevelopmentauthority.org/projects/development-projects/45-stuart-street,,404 residential units in a 29-story building and 198 parking spaces
Ink Block,South End,471 ,300,Harrison Ave.,National Development,"$200,000,000","548,900",Under construction,-71.062636,42.345379,http://www.bostonglobe.com/rf/image_460w/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/2015/03/01skyline/img/Pointrendreing-v04.jpg,83 condos planned for former Herald property,http://www.bostonglobe.com/business/2013/09/16/former-herald-site-include-condos/MDajnU2Q44TylcvJUCSmeL/story.html,http://www.bostonredevelopmentauthority.org/projects/development-projects/ink-block,http://inkblockboston.com/,"471 residential units, 85,00 square feet of retail, including a Whole Foods supermarket, and 411 parking spaces"
